barangay_id,university_id,barangay_name,university_name,distance_km,commute_time_mins
5,19,Bantugan,Lyceum-Northwestern University,22.15,37.6
5,20,Bantugan,Pangasinan Polytechnic College,37.44,59.8
6,1,Batakil,University of Eastern Pangasinan,13.73,15.5
6,2,Batakil,Urdaneta City University,23.12,21.6
6,3,Batakil,Pangasinan State University - Urdaneta City,20.76,19.0
6,4,Batakil,Pangasinan State University - Asingan,29.11,28.9
6,5,Batakil,DMMMSU – South La Union Campus (SLUC),31.66,38.6
6,6,Batakil,DMMMSU – Mid La Union Campus (MLUC),63.44,82.7
6,7,Batakil,Benguet State University - La Trinidad,65.42,93.4
6,8,Batakil,Central Luzon State University,91.82,84.4
6,9,Batakil,Tarlac State University - Tarlac,81.51,68.6
6,10,Batakil,Pangasinan State University - Lingayen,43.09,69.7
6,11,Batakil,Pangasinan State University - Bayambang,52.18,61.4
6,12,Batakil,Saint Louis University - Baguio,61.12,85.1
6,13,Batakil,University of the Philippines - Baguio,41.58,51.8
6,14,Batakil,University of Pangasinan - PHINMA,26.14,43.5
6,15,Batakil,University of the Philippines - Diliman,202.09,166.7
6,16,Batakil,University of the Philippines - Manila,203.72,170.4
6,17,Batakil,Univeristy of the Philippines - Open University,201.52,165.3
6,18,Batakil,Polytechnic University of the Philippines - Manila,202.61,166.7
6,19,Batakil,Lyceum-Northwestern University,28.06,47.7
6,20,Batakil,Pangasinan Polytechnic College,43.35,69.9
7,1,Bobonan,University of Eastern Pangasinan,12.75,14.0
7,2,Bobonan,Urdaneta City University,22.14,20.2
7,3,Bobonan,Pangasinan State University - Urdaneta City,19.78,17.6
7,4,Bobonan,Pangasinan State University - Asingan,28.13,27.5
7,5,Bobonan,DMMMSU – South La Union Campus (SLUC),31.92,38.3
7,6,Bobonan,DMMMSU – Mid La Union Campus (MLUC),63.7,82.5
7,7,Bobonan,Benguet State University - La Trinidad,66.87,93.1
7,8,Bobonan,Central Luzon State University,90.84,82.9
7,9,Bobonan,Tarlac State University - Tarlac,80.53,67.2
7,10,Bobonan,Pangasinan State University - Lingayen,44.39,68.6
7,11,Bobonan,Pangasinan State University - Bayambang,51.2,60.0
7,12,Bobonan,Saint Louis University - Baguio,62.57,84.8
7,13,Bobonan,University of the Philippines - Baguio,41.85,51.6
7,14,Bobonan,University of Pangasinan - PHINMA,27.44,42.4
7,15,Bobonan,University of the Philippines - Diliman,201.12,165.3
7,16,Bobonan,University of the Philippines - Manila,202.74,168.9
7,17,Bobonan,Univeristy of the Philippines - Open University,200.55,163.8
7,18,Bobonan,Polytechnic University of the Philippines - Manila,201.64,165.2
7,19,Bobonan,Lyceum-Northwestern University,29.36,46.6
7,20,Bobonan,Pangasinan Polytechnic College,44.65,68.8
8,1,Buneg,University of Eastern Pangasinan,8.53,9.9
8,2,Buneg,Urdaneta City University,17.9,17.7
8,3,Buneg,Pangasinan State University - Urdaneta City,15.54,15.1
8,4,Buneg,Pangasinan State University - Asingan,23.89,25.0
8,5,Buneg,DMMMSU – South La Union Campus (SLUC),37.89,46.8
8,6,Buneg,DMMMSU – Mid La Union Campus (MLUC),69.68,91.0
8,7,Buneg,Benguet State University - La Trinidad,71.42,100.4
8,8,Buneg,Central Luzon State University,88.09,83.3
8,9,Buneg,Tarlac State University - Tarlac,77.78,67.5
8,10,Buneg,Pangasinan State University - Lingayen,58.31,68.1
8,11,Buneg,Pangasinan State University - Bayambang,46.96,57.5
8,12,Buneg,Saint Louis University - Baguio,67.12,92.2
8,13,Buneg,University of the Philippines - Baguio,47.82,60.0
8,14,Buneg,University of Pangasinan - PHINMA,32.96,46.9
8,15,Buneg,University of the Philippines - Diliman,198.36,165.7
8,16,Buneg,University of the Philippines - Manila,199.99,169.3
8,17,Buneg,Univeristy of the Philippines - Open University,197.79,164.2
8,18,Buneg,Polytechnic University of the Philippines - Manila,198.88,165.6
8,19,Buneg,Lyceum-Northwestern University,46.4,49.7
8,20,Buneg,Pangasinan Polytechnic College,58.58,68.4
9,1,Cablong,University of Eastern Pangasinan,9.75,10.9
9,2,Cablong,Urdaneta City University,19.12,18.7
9,3,Cablong,Pangasinan State University - Urdaneta City,16.76,16.1
9,4,Cablong,Pangasinan State University - Asingan,25.11,26.0
