barangay_id,university_id,barangay_name,university_name,distance_km,commute_time_mins,distance_km_mid,economic_constraint,tuition_estimate,annual_transport_cost_php,total_annual_burden_php,affordability_at_tier_1,affordability_at_tier_2,affordability_at_tier_3,affordability_at_tier_4,affordability_at_tier_5
28,14,Poblacion III,University of Pangasinan - PHINMA,24.63,41.5,55.0,3,60000,22167.0,82167.0,False,False,False,False,True
28,15,Poblacion III,University of the Philippines - Diliman,199.39,166.5,220.0,1,10000,179451.0,189451.0,False,False,False,False,False
28,16,Poblacion III,University of the Philippines - Manila,201.01,170.1,220.0,1,10000,180909.0,190909.0,False,False,False,False,False
28,17,Poblacion III,Univeristy of the Philippines - Open University,198.82,165.1,220.0,1,10000,178937.99999999997,188937.99999999997,False,False,False,False,False
28,18,Poblacion III,Polytechnic University of the Philippines - Manila,199.91,166.4,220.0,1,10000,179919.0,189919.0,False,False,False,False,False
28,19,Poblacion III,Lyceum-Northwestern University,26.56,45.7,55.0,3,60000,23903.999999999996,83904.0,False,False,False,False,True
28,20,Poblacion III,Pangasinan Polytechnic College,41.84,68.0,85.0,2,25000,37656.0,62656.0,False,False,False,False,True
29,1,Poblacion IV,University of Eastern Pangasinan,9.41,11.1,15.0,2,25000,8469.0,33469.0,True,True,True,True,True
29,2,Poblacion IV,Urdaneta City University,18.78,18.9,25.0,2,25000,16902.0,41902.0,False,False,True,True,True
29,3,Poblacion IV,Pangasinan State University - Urdaneta City,16.42,16.3,35.0,1,10000,14778.000000000002,24778.0,True,True,True,True,True
29,4,Poblacion IV,Pangasinan State University - Asingan,24.76,26.2,40.0,1,10000,22284.000000000004,32284.000000000004,True,True,True,True,True
29,5,Poblacion IV,DMMMSU – South La Union Campus (SLUC),35.97,42.9,75.0,1,10000,32373.0,42373.0,False,False,True,True,True
29,6,Poblacion IV,DMMMSU – Mid La Union Campus (MLUC),67.75,87.1,55.0,1,10000,60975.0,70975.0,False,False,False,False,True
29,7,Poblacion IV,Benguet State University - La Trinidad,69.5,96.5,95.0,1,10000,62550.0,72550.0,False,False,False,False,True
29,8,Poblacion IV,Central Luzon State University,88.96,84.5,85.0,1,10000,80063.99999999999,90063.99999999999,False,False,False,False,True
29,9,Poblacion IV,Tarlac State University - Tarlac,78.65,68.7,45.0,1,10000,70785.0,80785.0,False,False,False,False,True
29,10,Poblacion IV,Pangasinan State University - Lingayen,41.29,67.2,55.0,1,10000,37161.0,47161.0,False,False,False,True,True
29,11,Poblacion IV,Pangasinan State University - Bayambang,47.84,58.7,55.0,1,10000,43056.0,53056.0,False,False,False,True,True
29,12,Poblacion IV,Saint Louis University - Baguio,65.2,88.3,55.0,3,60000,58680.0,118680.0,False,False,False,False,False
29,13,Poblacion IV,University of the Philippines - Baguio,45.89,56.1,55.0,1,10000,41301.0,51301.0,False,False,False,True,True
29,14,Poblacion IV,University of Pangasinan - PHINMA,24.33,41.1,55.0,3,60000,21897.0,81897.0,False,False,False,False,True
29,15,Poblacion IV,University of the Philippines - Diliman,199.24,166.9,220.0,1,10000,179316.0,189316.0,False,False,False,False,False
29,16,Poblacion IV,University of the Philippines - Manila,200.86,170.5,220.0,1,10000,180774.0,190774.0,False,False,False,False,False
29,17,Poblacion IV,Univeristy of the Philippines - Open University,198.66,165.4,220.0,1,10000,178794.0,188794.0,False,False,False,False,False
29,18,Poblacion IV,Polytechnic University of the Philippines - Manila,199.76,166.8,220.0,1,10000,179784.0,189784.0,False,False,False,False,False
29,19,Poblacion IV,Lyceum-Northwestern University,26.26,45.2,55.0,3,60000,23634.000000000004,83634.0,False,False,False,False,True
29,20,Poblacion IV,Pangasinan Polytechnic College,41.55,67.5,85.0,2,25000,37395.0,62395.0,False,False,False,False,True
30,1,Rosario,University of Eastern Pangasinan,5.71,6.0,15.0,2,25000,5139.0,30139.0,True,True,True,True,True
30,2,Rosario,Urdaneta City University,15.08,13.8,25.0,2,25000,13572.000000000002,38572.0,False,True,True,True,True
30,3,Rosario,Pangasinan State University - Urdaneta City,12.72,11.2,35.0,1,10000,11448.0,21448.0,True,True,True,True,True
30,4,Rosario,Pangasinan State University - Asingan,21.06,21.1,40.0,1,10000,18954.0,28954.0,True,True,True,True,True
30,5,Rosario,DMMMSU – South La Union Campus (SLUC),38.9,46.1,75.0,1,10000,35010.0,45010.0,False,False,True,True,True
30,6,Rosario,DMMMSU – Mid La Union Campus (MLUC),70.68,90.3,55.0,1,10000,63612.00000000001,73612.0,False,False,False,False,True
30,7,Rosario,Benguet State University - La Trinidad,72.43,99.7,95.0,1,10000,65187.00000000001,75187.0,False,False,False,False,True
30,8,Rosario,Central Luzon State University,85.26,79.4,85.0,1,10000,76734.0,86734.0,False,False,False,False,True
30,9,Rosario,Tarlac State University - Tarlac,74.95,63.6,45.0,1,10000,67455.0,77455.0,False,False,False,False,True
30,10,Rosario,Pangasinan State University - Lingayen,55.49,64.2,55.0,1,10000,49941.0,59941.0,False,False,False,False,True
30,11,Rosario,Pangasinan State University - Bayambang,44.14,53.6,55.0,1,10000,39726.0,49726.0,False,False,False,True,True
30,12,Rosario,Saint Louis University - Baguio,68.13,91.5,55.0,3,60000,61316.99999999999,121317.0,False,False,False,False,False
30,13,Rosario,University of the Philippines - Baguio,48.82,59.4,55.0,1,10000,43938.0,53938.0,False,False,False,True,True
30,14,Rosario,University of Pangasinan - PHINMA,41.81,43.2,55.0,3,60000,37629.0,97629.0,False,False,False,False,False
30,15,Rosario,University of the Philippines - Diliman,195.54,161.7,220.0,1,10000,175986.0,185986.0,False,False,False,False,False
30,16,Rosario,University of the Philippines - Manila,197.16,165.3,220.0,1,10000,177444.0,187444.0,False,False,False,False,False
30,17,Rosario,Univeristy of the Philippines - Open University,194.97,160.3,220.0,1,10000,175473.0,185473.0,False,False,False,False,False
30,18,Rosario,Polytechnic University of the Philippines - Manila,196.06,161.7,220.0,1,10000,176454.0,186454.0,False,False,False,False,False
30,19,Rosario,Lyceum-Northwestern University,43.58,45.8,55.0,3,60000,39221.99999999999,99222.0,False,False,False,False,False
30,20,Rosario,Pangasinan Polytechnic College,55.75,64.5,85.0,2,25000,50175.0,75175.0,False,False,False,False,True
31,1,Sugcong,University of Eastern Pangasinan,12.86,16.7,15.0,2,25000,11574.0,36574.0,False,True,True,True,True
31,2,Sugcong,Urdaneta City University,22.23,24.6,25.0,2,25000,20007.0,45007.0,False,False,True,True,True
31,3,Sugcong,Pangasinan State University - Urdaneta City,19.86,22.0,35.0,1,10000,17874.0,27874.0,True,True,True,True,True
31,4,Sugcong,Pangasinan State University - Asingan,28.21,31.9,40.0,1,10000,25389.000000000004,35389.0,False,True,True,True,True
31,5,Sugcong,DMMMSU – South La Union Campus (SLUC),34.2,43.3,75.0,1,10000,30780.0,40780.0,False,False,True,True,True
31,6,Sugcong,DMMMSU – Mid La Union Campus (MLUC),65.98,87.4,55.0,1,10000,59382.00000000001,69382.0,False,False,False,False,True
31,7,Sugcong,Benguet State University - La Trinidad,67.96,98.1,95.0,1,10000,61163.99999999999,71164.0,False,False,False,False,True
31,8,Sugcong,Central Luzon State University,92.41,90.2,85.0,1,10000,83168.99999999999,93168.99999999999,False,False,False,False,False
31,9,Sugcong,Tarlac State University - Tarlac,82.1,74.4,45.0,1,10000,73890.0,83890.0,False,False,False,False,True
31,10,Sugcong,Pangasinan State University - Lingayen,62.64,75.0,55.0,1,10000,56376.0,66376.0,False,False,False,False,True
31,11,Sugcong,Pangasinan State University - Bayambang,51.29,64.4,55.0,1,10000,46161.0,56161.0,False,False,False,False,True
31,12,Sugcong,Saint Louis University - Baguio,63.66,89.8,55.0,3,60000,57293.99999999999,117294.0,False,False,False,False,False
31,13,Sugcong,University of the Philippines - Baguio,44.13,56.5,55.0,1,10000,39717.0,49717.0,False,False,False,True,True
31,14,Sugcong,University of Pangasinan - PHINMA,30.74,49.1,55.0,3,60000,27665.999999999996,87666.0,False,False,False,False,True
31,15,Sugcong,University of the Philippines - Diliman,202.69,172.5,220.0,1,10000,182421.0,192421.0,False,False,False,False,False
31,16,Sugcong,University of the Philippines - Manila,204.31,176.1,220.0,1,10000,183879.0,193879.0,False,False,False,False,False
