university_name,degree,major,source_note
Philippine Military Academy,BACHELOR OF SCIENCE IN MANAGEMENT MAJOR IN SECURITY STUDIES,,Local demo override per Team 4 decision
Maritime Academy of Asia and the Pacific,Bachelor of Science in Marine Transportation,,Local demo override per Team 4 decision
