Definition,Form 2 raw count,Form 2 share of adults (%),Form 3 weighted estimate
Strict (bachelor's grad+),296753,18.27075163911767,292681.44006911
"Broad (+college undergrad, post-sec, short-cycle)",506592,31.190305116928553,501708.03679453
