Indicator,Value
Households (raw rows),1545.0
Weighted households (RFACT),769281.001111225
Weighted persons (MEM_RFACT),3191004.985296952
Mean household size,3.985526556815159
Mean total income (PHP),299751.21321404574
Mean total expenditure (PHP),211162.5633652594
Mean education spending (PHP),6008.1028157021055
Mean transport spending (PHP),14171.30480650001
"Mean per-capita income decile (1--10, FIES rank)",4.942395803044978
Urban households share (%),31.3393723044465
