urban_rural,weighted_households,mean_total_income,mean_pcinc,mean_education_spend,mean_transport_spend
Urban,241087.83700562004,344045.11465115205,5.693675704735533,6025.34280389726,15739.607785598002
Rural,528193.164105605,279533.75941928773,4.599482530414745,6000.2338167327425,13455.470527121473
