place_class,weighted_attending,share_pct
Same municipality,828508.27086691,89.6587914805411
"Different municipality, same province",78490.05036446,8.49396838435998
Different province,16488.9268253,1.784384421920825
Abroad,555.32550901,0.06009573563346006
Not reported,25.50407144,0.002759977544643135
