age_group,weighted_persons,weighted_attending,attendance_rate_pct
0-4,312364.99971773,0.0,0.0
5-11,446440.55457385,405764.95130669,90.88890943028531
12-15,252472.78823458002,244227.97001913,96.73437352472635
16-17,123783.91999035,112860.97783057,91.17579879468066
18-21,237123.83770246,140969.98454499,59.4499422373036
22-24,162844.89841473,20244.19393574,12.431580069633197
25+,1624196.99852452,0.0,0.0
